CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Clinikk,2016,Bangalore,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,,Bangalore,Hospital & Health Care,Transforming health insurance by building India's first managed care model,4000000.0,Pre-series A
Mensa,2021,Bangalore,Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",,Bangalore,D2C,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",135000000.0,Series B
GENLEAP,2021,Haryana,"Sachin Sandhir, Nimish Gupta, Nitin Thakur, Shweta Kataria","Vivek Vaidya, Kevin Donlon, Ayush Singh",,Haryana,Professional Training & Coaching,GenLeap is India’s first self-discovery and career lifecycle management platform.,8000000.0,Seed
Planys,2015,Chennai,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell",,Chennai,Maritime,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,1600000.0,Pre-series A
GoKwik,2020,New Delhi,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,15000000.0,Series A
Velocity,2020,Bangalore,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,,Bangalore,Financial Services,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",20000000.0,Series A
SalaryBox,2020,Gurugram,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",,Gurugram,Financial Services,SalaryBox is solution that makes employee management effortless.,4000000.0,Seed
Boingg,2019,Gurugram,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,,Gurugram,Furniture,D2C furniture brand,200000.0,Seed
Disprz,2015,Mumbai,"Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",,Mumbai,E-learning,An AI-powered right skilling suite that helps enterprises unlock business potential.,13000000.0,Series B
Inzpira,2021,Trivandrum,"Rohith Namboothiri, Sruthy Ramesh","Raj Nair, Gopinath Latpate",,Trivandrum,E-learning,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.",300000.0,Seed
Mindhouse,2019,Gurugram,"Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst",,Gurugram,"Health, Wellness & Fitness",Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,6000000.0,Seed
Toppersnotes,2015,Jaipur,"Ayush Agarwal, Devendra Dhaka, Arpit Bansal",Inflection Point Ventures,,Jaipur,Education Management,"Toppersnotes is an edtech company, primarily operating in the test preparation industry.",1000000.0,Seed
NoBroker.com,2014,Bangalore,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures",,Bangalore,Real Estate,NoBroker is a disruptive force in the Real Estate Industry.,2100000.0,Series E
Haber,2017,Pune,"Vipin Raghavan, Priya Venkat, Arjunan PN",Ascent Capital,,Pune,Industrial Automation,"Real-time, automated insights to increase plant efficiency",20000000.0,Series B
Koparo,2020,New Delhi,Simran Khara,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",,New Delhi,Consumer Goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,700000.0,Seed
Settl,2020,Bangalore,"Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle",,Bangalore,Real Estate,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,500000.0,Seed
Park+,2019,New Delhi,Amit Lakhotia,"Sequoia Capital, Matrix Partners",,New Delhi,Tech startup,Building an eco-system for car owners which will be a one-stop solution for all their needs.,25000000.0,Series B
Spinny,2015,Gurugram,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,248000000.0,Series E
Slice,2015,Bangalore,"Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",220000000.0,Series B
21K School,2020,Bangalore,"Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,,Bangalore,E-learning,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.",5000000.0,Pre-series A
Adda247,2016,Gurugram,"Anil Nagar, Saurabh Bansal",WestBridge Capital,,Gurugram,E-learning,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",20000000.0,Series B
Rupifi,2020,Bangalore,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,,Bangalore,Financial Services,Embedded Lending for Small Businesses,1000000.0,Debt
RENEE Cosmetics,2019,Ahmedabad,"Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns",,Ahmedabad,Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.",1500000.0,Pre-series A
