funding_year,company_name,founded_year,headquarters_city,headquarters_state,industry,about_company,founders,investor,amount_usd,funding_round
2018,Chaayos,,New Delhi,Delhi,"Food and Beverage, Restaurants, Tea",Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,,,9720000.0,Series B
2018,Chai Kings,,Chennai,Tamil Nadu,"Food and Beverage, Tea",Chai Kings is a tea retail chain,,,240000.0,Seed
2018,Chakr Innovation,,New Delhi,Delhi,Renewable Energy,Chakr has developed the worldâs first retro-fit emission control device for diesel generators.,,,,Seed
2018,Charcoal Eats,,Mumbai,Maharashtra,Food Processing,Charcoal Eats aims to bring Dominos style standardisation.,,,600000.0,Seed
2018,Chariot Tech,,New Delhi,Delhi,"Internet of Things, Telecommunications",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,,,240000.0,Seed
2018,Chezuba,,Hyderabad,Andhra Pradesh,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,,,16800.0,Angel
2018,Chizel,,Pune,Maharashtra,"3D Printing, Manufacturing, Product Design",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,,,,Seed
2018,Chrysalis (EZ Vidya),,Chennai,Tamil Nadu,Education,Chrysalis (EZ Vidya) is Indiaâs leading educational research and innovation organization,,,,Seed
2018,Chtrbox,,Mumbai,Maharashtra,"Advertising, Internet, Marketing",Chtrbox connects social media influencers with brands .,,,120000.0,Angel
2018,CivilCops,,Gurugram,Haryana,"Government, Information Technology, Software",Gov-Tech,,,100000.0,Pre-Seed
2018,Classworks India,,Chennai,Tamil Nadu,"Education, Information Technology, Internet, Mobile, Software","Saas, Web App, Mobile App, School Education",,,1200.0,
2018,CleanseCar,,Bangalore,Karnataka,Automotive,CleanseCar is a company provides Washing and Repair Services.,,,420000.0,Angel
2018,ClearTax,,New Delhi,Delhi,"Accounting, Apps, FinTech",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,,,48000000.0,Series B
2018,Cleardekho,,Ghaziabad,Uttar Pradesh,"Eyewear, Internet",Uttar Pradesh based online eyewear marketplace.,,,,Venture - Series Unknown
2018,Clensta,,New Delhi,Delhi,"Biotechnology, Health Care, Wellness",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,,,,Seed
2018,CloudSek,,Bangalore,Karnataka,"Information Technology, SaaS, Security",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,,,1680000.0,Seed
2018,Cloudnine Hospitals,,Bangalore,Karnataka,"Child Care, Health Care, Hospital, Medical, Women's",Cloudnine is an Indian chain of women and child care hospitals.,,,,Private Equity
2018,Cogoport,,Mumbai,Maharashtra,"Air Transportation, Freight Service, Logistics, Marine Transportation",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,,,6000000.0,Series A
2018,CoinGeto,,Delhi,Delhi,"Cryptocurrency, Trading Platform",CoinGeto is one of Indiaâs most advanced digital assets exchange.,,,1440000.0,Seed
2018,Colive.in,,Bangalore,Karnataka,Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,,1800000.0,Seed
2018,CollPoll,,Bangalore,Karnataka,Education,World-class Enterprise System for Education.,,,,Seed
2018,Connect India,,New Delhi,Delhi,"Delivery Service, E-Commerce, Logistics","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",,,,Angel
2018,Corefactors,,Bangalore,Karnataka,â,"Corefactors is a leading campaign management, business communication and analytics company.",,,,Seed
2018,Coutloot,,Mumbai,Maharashtra,"E-Commerce, Fashion, Mobile",The Fashion Re-commerce platform.,,,1000000.0,Seed
2018,Creatorâs Gurukul,,Gurugram,Haryana,Facilities Support Services,A coworking space provider.,,,,Angel
2018,Cred,,Bangalore,Karnataka,â,Cred is a platform to celebrate and reward the most creditworthy people of India.,,,,Seed
2018,Creditas Solutions,,Gurugram,Haryana,Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,,,,Seed
2018,Credy,,Bangalore,Karnataka,"Credit, Financial Services, FinTech, Lending",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,,1400000.0,Seed
2018,Cricnwin,,Gurugram,Haryana,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Cricnwin is a Gurugram - based Fan Engagement Platform,,,,Seed
2018,CropIn Technologies,,Bangalore,Karnataka,"Agriculture, Mobile","To discover, develop and deliver innovative solution in Agtech Space",,,6960000.0,Series B
