CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
LetsTransport,2018,2018,True,Bengaluru,"Logistics, Transportation, Travel",Lets transport is a logistics solution provider.,Unknown,Unknown,12000000.0,Series B
Next Digital Solutions,2018,2018,True,Kota,"Digital Marketing, SEM, SEO, Web Development",Next Digital Solutions is website design & Digital Marketing development company.,Unknown,Unknown,1200.0,Angel
Portea Medical,2018,2018,True,Bengaluru,"Health Care, Hospital, Medical",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Unknown,Unknown,3000000.0,Debt Financing
Aavas Financiers,2018,2018,True,Jaipur,"Finance, Financial Services","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Unknown,Unknown,24000000.0,Post-IPO Debt
Swiggy,2018,2018,True,Bengaluru,"Food Delivery, Food Processing, Internet",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Unknown,Unknown,1000000000.0,Series H
Milkbasket,2018,2018,True,Haryana,"E-Commerce, Food and Beverage, Internet","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,Unknown,7000000.0,Series A
Toppr,2018,2018,True,Mumbai,"EdTech, Education, Knowledge Management",Toppr.com is an online preparation platform for entrance exams in India.,Unknown,Unknown,35000000.0,Series C
Jagaran Microfin,2018,2018,True,Kolkata,—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,Unknown,Unknown,6600000.0,Debt Financing
Vivriti Capital,2018,2018,True,Chennai,Financial Services,Vivriti Capital is an online platform for institutional debt in India.,Unknown,Unknown,28500000.0,Venture - Series Unknown
Be U Salons,2018,2018,True,New Delhi,"Apps, Beauty, Consumer, Retail",Be U is India's first subscription based Salon Chain.,Unknown,Unknown,360000.0,Seed
Impact Guru,2018,2018,True,Mumbai,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Unknown,Unknown,2000000.0,Series A
MobiKwik,2018,2018,True,Gurugram,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Unknown,Unknown,2880000.0,Series E
DataTrained,2018,2018,True,Bengaluru,"EdTech, Education","DataTrained is a educational platform, which operates an ed-tech startup on data science",Unknown,Unknown,1440000.0,Seed
