Founded_scaled,RoundSeries_scaled,Head Quarter,Industry In,AboutCompany,Amount in ($)
-0.9596330499439735,-0.21241634987467914,,,,
-0.4231478389431518,-1.5025332983782456,12,6,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,4050000.0
0.11333737205766989,-0.21241634987467914,12,89,It aims to co-create intellectual property that can reside within the borders of the country.,1050000.0
-0.6913904444435626,2.797856529966976,12,106,Operates vernacular-language based education tech startup,800000.0
-0.15490523344274093,-1.5025332983782456,23,111,"BluSmart, an all-electric ride-hailing platform",7000000.0
0.9180651885589024,-0.6424553327092013,4,113,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,50000000.0
-0.4231478389431518,0.6476616157943651,4,117,A food science company using AI to predict consumer taste and food trends,1000000.0
0.11333737205766989,-0.6424553327092013,4,124,Leading Investment and Trading Platform,30000000.0
-0.6913904444435626,0.217622632959843,,,,
-1.764360866445206,0.6476616157943651,35,105,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders",1000000.0
0.9180651885589024,-0.6424553327092013,23,105,Ockypocky helps kids in learning spoken english,400000.0
-0.4231478389431518,0.217622632959843,38,286,Helps enterprise businesses achieve their marketing and sales goals through seamless video,4000000.0
-0.4231478389431518,2.3678175471324536,49,253,"Builds developer tooling products, including open source tools, backend",25000000.0
0.11333737205766989,0.6476616157943651,56,124,Qapita provides digital equity management tools for private companies and startups.,1080000.0
0.9180651885589024,0.6476616157943651,,,,
-0.9596330499439735,1.5077395814634094,,,,
-0.4231478389431518,2.3678175471324536,32,41,They use flowers from temples across India's and create useful products such as rose incense cone,1400000.0
-1.2278756554443842,0.217622632959843,35,169,IDfy provides risk and fraud solutions,2110000.0
0.11333737205766989,-1.5025332983782456,4,113,India's first vernacular social gaming platform,292000.0
-1.2278756554443842,-0.6424553327092013,4,186,Tracxn is the research partner for Venture Capitalist,887000.0
-0.9596330499439735,-1.5025332983782456,56,267,AI credit scoring platform,7000000.0
-0.4231478389431518,0.217622632959843,4,66,"A construction company doing house construction, building construction, commercial construction",2200000.0
0.6498225830584915,0.217622632959843,25,96,Provides free whatsapp integrated E-Commerce Store,2000000.0
0.11333737205766989,-0.6424553327092013,23,88,One of the best dating Apps in India connecting singles across the country.,110000.0
-0.15490523344274093,-0.6424553327092013,,,,
-0.6913904444435626,1.5077395814634094,,,,
0.11333737205766989,1.0777005986288872,,,,
0.9180651885589024,0.217622632959843,35,105,Offers an integrated system for schools by helping them digitize the entire curriculum,28000000.0
0.9180651885589024,-1.0724943155437234,4,248,Allows users to share their travel experiences,11000000.0
-0.15490523344274093,0.6476616157943651,,,,
-0.15490523344274093,2.3678175471324536,4,259,Indian Earth observation startup,5000000.0
0.9180651885589024,-0.6424553327092013,4,267,An end-to-end CX platform enabled with the gig workforce,1065000.0
0.3815799775580807,-0.21241634987467914,4,105,It trains tech aspirants in full stack wed and android development,2500000.0
-1.4961182609447952,0.217622632959843,1,128,Provides working capital loans and business loans to MSMEs,16076000.0
0.11333737205766989,-1.5025332983782456,,,,
-0.6913904444435626,1.9377785642979315,4,15,Agri-inputs ecommerce player,2000000.0
