CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Awign Enterprises,2016,2019,False,Bengaluru,Unknown,It supplies workforce to the economy,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A
Smart Institute,2019,2019,True,Surat,Edtech,A platform to learn online,Unknown,HNI investors,1500000.0,Unknown
Phable,2018,2019,False,Unknown,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Unknown
Spinny,2015,2019,False,New Delhi,Automobile,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Unknown
qZense,2019,2020,False,Bengaluru,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed
Slurrp Farm,2016,2020,False,Gurugram,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A
Countingwell,2018,2020,False,Bengaluru,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A
BiteSpeed,2019,2020,False,Gurugram,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed
Infinite Uptime,2015,2020,False,Pune,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B
TagMango,2019,2020,False,Mumbai,Marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed
BHIVE Investech,2014,2020,False,Bengaluru,Co-working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed
Clovia,2013,2020,False,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Pre-series C
GetWork,2019,2020,False,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-seed
Credgenics,2018,2020,False,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A
SignalX,2018,2020,False,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed
Slice,2016,2020,False,Bengaluru,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000.0,Debt
Rapawalk,2017,2020,False,Bengaluru,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed
Clientjoy,2013,2020,False,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000.0,Pre-series A
Udacity,2011,2020,False,California,EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000.0,Debt
Freshokartz,2016,2020,False,Jaipur,AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-series A
Arzooo,2016,2020,False,Bengaluru,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000.0,Series A
VitalTech,2018,2020,False,Plano,HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,Seed
HobSpace,2019,2020,False,Mumbai,Edtech,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed
Anveshan,2019,2020,False,Bengaluru,FoodTech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre-seed
Razorpay,2014,2020,False,Bengaluru,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000.0,Series D
Wow! Momo,2008,2020,False,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000.0,Debt
Pepper Content,2017,2020,False,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A
LIVSPACE,2014,2020,False,Bengaluru,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Debt
Coralogix,2013,2020,False,San Francisco,SaaS startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B
Samunnati,2014,2020,False,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000.0,Debt
Zuper,2016,2020,False,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer",1100000.0,Seed
Rephrase.ai,2018,2020,False,Bengaluru,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",1500000.0,Seed
FPL Technologies,2019,2020,False,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",10000000.0,Series A
Newton School,2019,2020,False,Bengaluru,EdTech Startup,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,650000.0,Seed
Dunzo,2014,2020,False,Bengaluru,Tech,Order online and get free delivery from your nearby restaurants,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital",28000000.0,Series E
WinZO,2016,2020,False,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",18000000.0,Series B
Homelane,2014,2020,False,Bengaluru,Home interior services,Explore 1000's of fully customizable home interior designs.,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0,Bridge
GUVI,2014,2020,False,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,Arun Prakash,"CBA Capital, Gray Matters Capital",800000.0,Series A
BluSmart,2019,2020,False,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform","Anmol Singh Jaggi, Punit K Goyal","Kalpavriksh, JITO Angel Network",7000000.0,Pre-series A
MPL,2018,2020,False,Bengaluru,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet",50000000.0,Series B
Spoonshot,2015,2020,False,Bengaluru,FMCG,A food science company using AI to predict consumer taste and food trends,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator",1000000.0,Seed A
SOAL,2017,2020,False,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Pratik Agarwal, Raj Desai, Varsha Bhambhani","Krishnan Menon, Srinivas Kollipara",1000000.0,Series A-1
OckyPocky,2015,2020,False,Gurugram,EdTech,Ockypocky helps kids in learning spoken english,Amit Agrawal,"SucSEED Venture Partners, ah! Ventures",400000.0,Seed
Hippo Video,2016,2020,False,New York,Video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,Karthi Mariappan,"Surge, Kae Capital",4000000.0,Series A
Hasura,2017,2020,False,San Francisco,Software Company,"Builds developer tooling products, including open source tools, backend","Tanmai Gopal, Rajoshi Ghosh","Nexus Venture Partners, Sam Lambert",25000000.0,Series B
Bikayi,2019,2020,False,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,2000000.0,Seed round
TrulyMadly Matchmakers,2014,2020,False,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A
LEAD School,2012,2020,False,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000.0,Series C
BigSpoon Foods,2019,2020,False,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre series A
